settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation,is_actual
2026-07-07 00:00:00,2026-07-07,1,85.25,49.3,85.25,112.92,92.26,-7.01,False
2026-07-07 00:30:00,2026-07-07,2,84.61,44.93,84.61,116.03,92.26,-7.65,False
2026-07-07 01:00:00,2026-07-07,3,82.33,41.47,82.33,114.91,92.26,-9.93,False
2026-07-07 01:30:00,2026-07-07,4,87.33,47.52,87.33,118.86,92.26,-4.93,False
2026-07-07 02:00:00,2026-07-07,5,79.14,39.91,79.14,110.1,92.26,-13.12,False
2026-07-07 02:30:00,2026-07-07,6,84.18,43.79,84.18,116.29,92.26,-8.09,False
2026-07-07 03:00:00,2026-07-07,7,81.88,45.63,81.88,109.86,92.26,-10.38,False
2026-07-07 03:30:00,2026-07-07,8,71.98,31.28,71.98,104.42,92.26,-20.28,False
2026-07-07 04:00:00,2026-07-07,9,77.51,35.79,77.51,110.97,92.26,-14.75,False
2026-07-07 04:30:00,2026-07-07,10,78.84,35.56,78.84,113.84,92.26,-13.42,False
2026-07-07 05:00:00,2026-07-07,11,88.05,44.84,88.05,123.0,92.26,-4.21,False
2026-07-07 05:30:00,2026-07-07,12,89.22,44.68,89.22,125.48,92.26,-3.05,False
2026-07-07 06:00:00,2026-07-07,13,122.98,79.81,122.98,157.89,92.26,30.72,False
2026-07-07 06:30:00,2026-07-07,14,116.26,76.65,116.26,147.61,92.26,24.0,False
2026-07-07 07:00:00,2026-07-07,15,115.79,72.88,115.79,150.43,92.26,23.53,False
2026-07-07 07:30:00,2026-07-07,16,128.3,87.17,128.3,161.16,92.26,36.04,False
2026-07-07 08:00:00,2026-07-07,17,124.0,77.82,124.0,161.92,92.26,31.74,False
2026-07-07 08:30:00,2026-07-07,18,119.16,75.66,119.16,154.39,92.26,26.9,False
2026-07-07 09:00:00,2026-07-07,19,82.67,35.25,82.67,121.81,92.26,-9.6,False
2026-07-07 09:30:00,2026-07-07,20,80.26,33.24,80.26,119.0,92.26,-12.0,False
2026-07-07 10:00:00,2026-07-07,21,87.74,37.02,87.74,130.19,92.26,-4.52,False
2026-07-07 10:30:00,2026-07-07,22,88.1,33.81,88.1,134.11,92.26,-4.17,False
2026-07-07 11:00:00,2026-07-07,23,90.86,38.27,90.86,135.17,92.26,-1.4,False
2026-07-07 11:30:00,2026-07-07,24,94.64,47.49,94.64,133.53,92.26,2.38,False
2026-07-07 12:00:00,2026-07-07,25,85.34,33.54,85.34,128.86,92.26,-6.93,False
2026-07-07 12:30:00,2026-07-07,26,86.2,30.42,86.2,133.7,92.26,-6.07,False
2026-07-07 13:00:00,2026-07-07,27,71.9,22.68,71.9,112.85,92.26,-20.36,False
2026-07-07 13:30:00,2026-07-07,28,78.44,30.32,78.44,118.29,92.26,-13.82,False
2026-07-07 14:00:00,2026-07-07,29,74.41,22.32,74.41,118.22,92.26,-17.85,False
2026-07-07 14:30:00,2026-07-07,30,75.18,21.26,75.18,120.82,92.26,-17.09,False
2026-07-07 15:00:00,2026-07-07,31,90.33,35.85,90.33,136.54,92.26,-1.93,False
2026-07-07 15:30:00,2026-07-07,32,91.68,35.01,91.68,140.07,92.26,-0.58,False
2026-07-07 16:00:00,2026-07-07,33,89.45,27.72,89.45,142.92,92.26,-2.81,False
2026-07-07 16:30:00,2026-07-07,34,85.15,24.41,85.15,137.63,92.26,-7.11,False
2026-07-07 17:00:00,2026-07-07,35,94.66,45.36,94.66,135.69,92.26,2.4,False
2026-07-07 17:30:00,2026-07-07,36,96.43,42.98,96.43,141.61,92.26,4.17,False
2026-07-07 18:00:00,2026-07-07,37,118.75,64.35,118.75,164.89,92.26,26.49,False
2026-07-07 18:30:00,2026-07-07,38,122.13,77.17,122.13,158.81,92.26,29.87,False
2026-07-07 19:00:00,2026-07-07,39,139.01,93.49,139.01,176.27,92.26,46.75,False
2026-07-07 19:30:00,2026-07-07,40,133.66,90.79,133.66,168.27,92.26,41.4,False
2026-07-07 20:00:00,2026-07-07,41,128.63,80.18,128.63,168.8,92.26,36.37,False
2026-07-07 20:30:00,2026-07-07,42,128.55,85.88,128.55,162.95,92.26,36.29,False
2026-07-07 21:00:00,2026-07-07,43,107.1,64.11,107.1,141.82,92.26,14.84,False
2026-07-07 21:30:00,2026-07-07,44,108.21,67.46,108.21,140.69,92.26,15.95,False
2026-07-07 22:00:00,2026-07-07,45,93.55,52.06,93.55,126.78,92.26,1.29,False
2026-07-07 22:30:00,2026-07-07,46,102.92,60.56,102.92,137.02,92.26,10.66,False
2026-07-07 23:00:00,2026-07-07,47,96.37,47.67,96.37,136.8,92.26,4.11,False
2026-07-07 23:30:00,2026-07-07,48,99.62,59.67,99.62,131.29,92.26,7.35,False
